epoch 4, seq 100/300, tr loss 0.684657 te loss 0.684760 lr: 0.000997 
epoch 7, seq 200/300, tr loss 0.660739 te loss 0.661137 lr: 0.000994 
epoch 10, seq 300/300, tr loss 0.624003 te loss 0.624878 lr: 0.000991 
epoch 14, seq 100/300, tr loss 0.587029 te loss 0.588421 lr: 0.000987 
epoch 17, seq 200/300, tr loss 0.527123 te loss 0.529441 lr: 0.000984 
epoch 20, seq 300/300, tr loss 0.401139 te loss 0.408707 lr: 0.000981 
epoch 24, seq 100/300, tr loss 0.339021 te loss 0.352151 lr: 0.000977 
epoch 27, seq 200/300, tr loss 0.322289 te loss 0.337928 lr: 0.000974 
epoch 30, seq 300/300, tr loss 0.316246 te loss 0.333085 lr: 0.000971 
epoch 34, seq 100/300, tr loss 0.313450 te loss 0.331065 lr: 0.000968 
epoch 37, seq 200/300, tr loss 0.312059 te loss 0.329969 lr: 0.000965 
epoch 40, seq 300/300, tr loss 0.311212 te loss 0.329197 lr: 0.000962 
epoch 44, seq 100/300, tr loss 0.310582 te loss 0.328746 lr: 0.000958 
epoch 47, seq 200/300, tr loss 0.310093 te loss 0.328218 lr: 0.000955 
epoch 50, seq 300/300, tr loss 0.309623 te loss 0.327635 lr: 0.000952 
epoch 54, seq 100/300, tr loss 0.309103 te loss 0.327178 lr: 0.000948 
epoch 57, seq 200/300, tr loss 0.308486 te loss 0.326479 lr: 0.000946 
epoch 60, seq 300/300, tr loss 0.307676 te loss 0.325577 lr: 0.000943 
epoch 64, seq 100/300, tr loss 0.306560 te loss 0.324599 lr: 0.000939 
epoch 67, seq 200/300, tr loss 0.304985 te loss 0.323133 lr: 0.000936 
epoch 70, seq 300/300, tr loss 0.302790 te loss 0.321149 lr: 0.000933 
epoch 74, seq 100/300, tr loss 0.299806 te loss 0.318697 lr: 0.000930 
epoch 77, seq 200/300, tr loss 0.295866 te loss 0.315327 lr: 0.000927 
epoch 80, seq 300/300, tr loss 0.290847 te loss 0.310951 lr: 0.000924 
epoch 84, seq 100/300, tr loss 0.284700 te loss 0.305690 lr: 0.000920 
epoch 87, seq 200/300, tr loss 0.277631 te loss 0.299318 lr: 0.000918 
epoch 90, seq 300/300, tr loss 0.270121 te loss 0.292286 lr: 0.000915 
epoch 94, seq 100/300, tr loss 0.262841 te loss 0.285436 lr: 0.000911 
epoch 97, seq 200/300, tr loss 0.256345 te loss 0.279077 lr: 0.000908 
epoch 100, seq 300/300, tr loss 0.250628 te loss 0.273499 lr: 0.000906 
epoch 104, seq 100/300, tr loss 0.245455 te loss 0.268653 lr: 0.000902 
epoch 107, seq 200/300, tr loss 0.240654 te loss 0.264170 lr: 0.000899 
epoch 110, seq 300/300, tr loss 0.236137 te loss 0.259988 lr: 0.000897 
epoch 114, seq 100/300, tr loss 0.231898 te loss 0.256120 lr: 0.000893 
epoch 117, seq 200/300, tr loss 0.227949 te loss 0.252430 lr: 0.000890 
epoch 120, seq 300/300, tr loss 0.224323 te loss 0.248970 lr: 0.000888 
epoch 124, seq 100/300, tr loss 0.221036 te loss 0.245814 lr: 0.000884 
epoch 127, seq 200/300, tr loss 0.218077 te loss 0.242870 lr: 0.000882 
epoch 130, seq 300/300, tr loss 0.215433 te loss 0.240168 lr: 0.000879 
