epoch 2, seq 500/500, tr loss 0.634473 te loss 0.634452 lr: 0.000999 
epoch 4, seq 500/500, tr loss 0.566287 te loss 0.566390 lr: 0.000997 
epoch 6, seq 500/500, tr loss 0.144361 te loss 0.143836 lr: 0.000995 
epoch 8, seq 500/500, tr loss 0.110932 te loss 0.109118 lr: 0.000993 
epoch 10, seq 500/500, tr loss 0.107825 te loss 0.105801 lr: 0.000991 
epoch 12, seq 500/500, tr loss 0.106067 te loss 0.103954 lr: 0.000989 
epoch 14, seq 500/500, tr loss 0.104820 te loss 0.102657 lr: 0.000987 
epoch 16, seq 500/500, tr loss 0.103846 te loss 0.101654 lr: 0.000985 
epoch 18, seq 500/500, tr loss 0.103034 te loss 0.100826 lr: 0.000983 
epoch 20, seq 500/500, tr loss 0.102325 te loss 0.100110 lr: 0.000981 
epoch 22, seq 500/500, tr loss 0.101680 te loss 0.099467 lr: 0.000979 
epoch 24, seq 500/500, tr loss 0.101075 te loss 0.098870 lr: 0.000977 
epoch 26, seq 500/500, tr loss 0.100492 te loss 0.098301 lr: 0.000975 
epoch 28, seq 500/500, tr loss 0.099919 te loss 0.097745 lr: 0.000973 
epoch 30, seq 500/500, tr loss 0.099346 te loss 0.097193 lr: 0.000971 
epoch 32, seq 500/500, tr loss 0.098765 te loss 0.096637 lr: 0.000969 
epoch 34, seq 500/500, tr loss 0.098172 te loss 0.096071 lr: 0.000968 
epoch 36, seq 500/500, tr loss 0.097564 te loss 0.095491 lr: 0.000966 
epoch 38, seq 500/500, tr loss 0.096940 te loss 0.094897 lr: 0.000964 
epoch 40, seq 500/500, tr loss 0.096302 te loss 0.094288 lr: 0.000962 
epoch 42, seq 500/500, tr loss 0.095652 te loss 0.093667 lr: 0.000960 
epoch 44, seq 500/500, tr loss 0.094995 te loss 0.093036 lr: 0.000958 
epoch 46, seq 500/500, tr loss 0.094333 te loss 0.092398 lr: 0.000956 
epoch 48, seq 500/500, tr loss 0.093670 te loss 0.091755 lr: 0.000954 
epoch 50, seq 500/500, tr loss 0.093007 te loss 0.091109 lr: 0.000952 
epoch 52, seq 500/500, tr loss 0.092342 te loss 0.090458 lr: 0.000950 
epoch 54, seq 500/500, tr loss 0.091671 te loss 0.089798 lr: 0.000948 
epoch 56, seq 500/500, tr loss 0.090988 te loss 0.089122 lr: 0.000946 
epoch 58, seq 500/500, tr loss 0.090282 te loss 0.088421 lr: 0.000945 
epoch 60, seq 500/500, tr loss 0.089541 te loss 0.087682 lr: 0.000943 
epoch 62, seq 500/500, tr loss 0.088753 te loss 0.086892 lr: 0.000941 
epoch 64, seq 500/500, tr loss 0.087902 te loss 0.086034 lr: 0.000939 
epoch 66, seq 500/500, tr loss 0.086971 te loss 0.085088 lr: 0.000937 
epoch 68, seq 500/500, tr loss 0.085943 te loss 0.084034 lr: 0.000935 
epoch 70, seq 500/500, tr loss 0.084797 te loss 0.082845 lr: 0.000933 
epoch 72, seq 500/500, tr loss 0.083516 te loss 0.081496 lr: 0.000931 
epoch 74, seq 500/500, tr loss 0.082083 te loss 0.079961 lr: 0.000930 
epoch 76, seq 500/500, tr loss 0.080496 te loss 0.078225 lr: 0.000928 
epoch 78, seq 500/500, tr loss 0.078773 te loss 0.076299 lr: 0.000926 
epoch 80, seq 500/500, tr loss 0.076969 te loss 0.074240 lr: 0.000924 
epoch 82, seq 500/500, tr loss 0.075177 te loss 0.072166 lr: 0.000922 
epoch 84, seq 500/500, tr loss 0.073485 te loss 0.070199 lr: 0.000920 
epoch 86, seq 500/500, tr loss 0.071924 te loss 0.068393 lr: 0.000918 
epoch 88, seq 500/500, tr loss 0.070488 te loss 0.066745 lr: 0.000917 
epoch 90, seq 500/500, tr loss 0.069175 te loss 0.065247 lr: 0.000915 
epoch 92, seq 500/500, tr loss 0.067992 te loss 0.063899 lr: 0.000913 
epoch 94, seq 500/500, tr loss 0.066944 te loss 0.062706 lr: 0.000911 
epoch 96, seq 500/500, tr loss 0.066030 te loss 0.061665 lr: 0.000909 
epoch 98, seq 500/500, tr loss 0.065238 te loss 0.060765 lr: 0.000908 
epoch 100, seq 500/500, tr loss 0.064551 te loss 0.059989 lr: 0.000906 
epoch 102, seq 500/500, tr loss 0.063949 te loss 0.059319 lr: 0.000904 
epoch 104, seq 500/500, tr loss 0.063414 te loss 0.058734 lr: 0.000902 
epoch 106, seq 500/500, tr loss 0.062931 te loss 0.058216 lr: 0.000900 
epoch 108, seq 500/500, tr loss 0.062484 te loss 0.057751 lr: 0.000898 
epoch 110, seq 500/500, tr loss 0.062062 te loss 0.057326 lr: 0.000897 
epoch 112, seq 500/500, tr loss 0.061655 te loss 0.056929 lr: 0.000895 
epoch 114, seq 500/500, tr loss 0.061254 te loss 0.056551 lr: 0.000893 
epoch 116, seq 500/500, tr loss 0.060852 te loss 0.056184 lr: 0.000891 
epoch 118, seq 500/500, tr loss 0.060439 te loss 0.055819 lr: 0.000890 
epoch 120, seq 500/500, tr loss 0.060007 te loss 0.055450 lr: 0.000888 
epoch 122, seq 500/500, tr loss 0.059547 te loss 0.055069 lr: 0.000886 
epoch 124, seq 500/500, tr loss 0.059049 te loss 0.054668 lr: 0.000884 
epoch 126, seq 500/500, tr loss 0.058502 te loss 0.054239 lr: 0.000882 
epoch 128, seq 500/500, tr loss 0.057901 te loss 0.053779 lr: 0.000881 
epoch 130, seq 500/500, tr loss 0.057245 te loss 0.053288 lr: 0.000879 
epoch 132, seq 500/500, tr loss 0.056551 te loss 0.052776 lr: 0.000877 
