epoch 4, seq 100/300, tr loss 0.627533 te loss 0.627401 lr: 0.000997 
epoch 7, seq 200/300, tr loss 0.498688 te loss 0.498289 lr: 0.000994 
epoch 10, seq 300/300, tr loss 0.366748 te loss 0.365673 lr: 0.000991 
epoch 14, seq 100/300, tr loss 0.292840 te loss 0.291223 lr: 0.000987 
epoch 17, seq 200/300, tr loss 0.216283 te loss 0.215191 lr: 0.000984 
epoch 20, seq 300/300, tr loss 0.177188 te loss 0.177129 lr: 0.000981 
epoch 24, seq 100/300, tr loss 0.136165 te loss 0.136536 lr: 0.000977 
epoch 27, seq 200/300, tr loss 0.115153 te loss 0.115164 lr: 0.000974 
epoch 30, seq 300/300, tr loss 0.103509 te loss 0.103376 lr: 0.000971 
epoch 34, seq 100/300, tr loss 0.095380 te loss 0.094805 lr: 0.000968 
epoch 37, seq 200/300, tr loss 0.089007 te loss 0.087761 lr: 0.000965 
epoch 40, seq 300/300, tr loss 0.083359 te loss 0.081786 lr: 0.000962 
epoch 44, seq 100/300, tr loss 0.077158 te loss 0.075499 lr: 0.000958 
epoch 47, seq 200/300, tr loss 0.069641 te loss 0.067934 lr: 0.000955 
epoch 50, seq 300/300, tr loss 0.060970 te loss 0.059268 lr: 0.000952 
epoch 54, seq 100/300, tr loss 0.052729 te loss 0.051178 lr: 0.000948 
epoch 57, seq 200/300, tr loss 0.046467 te loss 0.045140 lr: 0.000946 
epoch 60, seq 300/300, tr loss 0.042115 te loss 0.040970 lr: 0.000943 
epoch 64, seq 100/300, tr loss 0.038983 te loss 0.038149 lr: 0.000939 
epoch 67, seq 200/300, tr loss 0.036658 te loss 0.036059 lr: 0.000936 
epoch 70, seq 300/300, tr loss 0.034843 te loss 0.034351 lr: 0.000933 
epoch 74, seq 100/300, tr loss 0.033315 te loss 0.033068 lr: 0.000930 
epoch 77, seq 200/300, tr loss 0.032049 te loss 0.031933 lr: 0.000927 
epoch 80, seq 300/300, tr loss 0.030967 te loss 0.030908 lr: 0.000924 
epoch 84, seq 100/300, tr loss 0.029984 te loss 0.030104 lr: 0.000920 
epoch 87, seq 200/300, tr loss 0.029121 te loss 0.029331 lr: 0.000918 
epoch 90, seq 300/300, tr loss 0.028343 te loss 0.028621 lr: 0.000915 
epoch 94, seq 100/300, tr loss 0.027613 te loss 0.028029 lr: 0.000911 
epoch 97, seq 200/300, tr loss 0.026941 te loss 0.027452 lr: 0.000908 
epoch 100, seq 300/300, tr loss 0.026312 te loss 0.026924 lr: 0.000906 
epoch 104, seq 100/300, tr loss 0.025705 te loss 0.026442 lr: 0.000902 
epoch 107, seq 200/300, tr loss 0.025121 te loss 0.025980 lr: 0.000899 
epoch 110, seq 300/300, tr loss 0.024556 te loss 0.025557 lr: 0.000897 
epoch 114, seq 100/300, tr loss 0.023994 te loss 0.025134 lr: 0.000893 
epoch 117, seq 200/300, tr loss 0.023432 te loss 0.024733 lr: 0.000890 
epoch 120, seq 300/300, tr loss 0.022878 te loss 0.024364 lr: 0.000888 
epoch 124, seq 100/300, tr loss 0.022317 te loss 0.023972 lr: 0.000884 
